temp,hum,date
25,30,0:06:48
25,30,0:06:53
25,30,0:06:58
25,30,0:07:03
25,30,0:07:08
25,30,0:07:13
25,30,0:07:18
25,30,0:07:23
25,30,0:07:28
25,30,0:07:33
25,30,0:07:46
25,30,0:07:51
25,29,0:07:56
25,29,0:08:01
25,29,0:08:06
25,29,0:08:11
25,29,0:08:16
25,30,0:08:21
25,29,0:08:26
25,29,0:08:31
25,30,0:08:36
25,30,0:08:41
25,31,0:08:46
25,30,0:08:51
25,30,0:08:56
25,30,0:09:01
25,30,0:09:06
25,33,0:09:11
25,34,0:09:16
25,33,0:09:21
26,46,0:10:53
26,42,0:11:33
26,31,0:11:43
26,29,0:11:53
26,28,0:12:03
26,28,0:12:13
26,28,0:12:23
26,28,0:12:33
26,28,0:12:43
26,28,0:12:53
26,28,0:13:03
26,28,0:13:13
26,29,0:13:23
26,29,0:13:33
25,28,0:13:43
25,28,0:13:53
25,28,0:14:03
25,28,0:14:13
25,29,0:14:23
25,29,0:14:39
25,29,0:16:13
25,30,0:16:21
25,29,0:16:29
25,29,0:16:37
25,29,0:16:45
25,29,0:16:53
25,29,0:17:01
25,28,0:17:09
25,28,0:17:17
25,29,0:17:25
25,29,0:17:33
25,29,0:17:41
25,29,0:17:49
25,29,0:17:57
25,29,0:18:05
25,29,0:18:13
25,29,0:18:21
25,29,0:18:29
25,28,0:18:37
25,29,0:18:45
25,29,0:18:53
25,29,0:19:01
25,29,0:19:09
25,29,0:19:17
25,28,0:19:25
25,28,0:19:33
25,28,0:19:41
25,28,0:19:49
25,29,0:19:57
25,29,0:20:05
25,29,0:20:13
25,29,0:20:21
26,30,0:20:29
26,29,0:20:37
26,30,0:20:45
26,52,0:20:53
26,41,0:21:01
26,46,0:21:09
26,37,0:21:17
26,34,0:21:25
27,32,0:21:33
27,32,0:21:41
27,30,0:21:49
27,29,0:21:57
27,29,0:22:05
27,29,0:22:13
27,28,0:22:21
27,28,0:22:29
27,27,0:22:37
27,27,0:22:45
27,27,0:22:53
27,26,0:23:01
27,26,0:23:09
27,26,0:23:17
27,26,0:23:25
27,26,0:23:33
27,26,0:23:41
27,26,0:23:49
27,25,0:23:57
27,25,0:24:05
27,26,0:24:13
27,26,0:24:21
27,25,0:24:29
27,26,0:24:37
27,26,0:24:45
27,26,0:24:53
27,26,0:25:01
27,26,0:25:09
27,26,0:25:17
27,26,0:25:25
27,28,0:25:33
26,28,0:25:41
26,28,0:25:49
26,28,0:25:57
26,28,0:26:05
26,28,0:26:13
0,0,ss
26,28,0:31:43
25,31,0:31:51
25,29,0:31:59
25,29,0:00:12
25,29,0:00:20
25,29,0:00:28
25,29,0:00:36
25,29,0:00:44
25,29,0:00:52
25,29,0:01:00
25,29,0:01:08
25,29,0:01:16
25,29,0:01:24
25,29,0:01:32
25,29,0:01:40
25,29,0:01:48
25,29,0:01:56
25,29,0:02:04
25,29,0:02:12
25,29,0:02:20
25,29,0:02:28
25,29,0:02:36
25,29,0:02:44
25,29,0:02:52
25,29,0:03:00
25,29,0:03:08
25,29,0:03:16
25,29,0:03:24
25,29,0:03:32
25,29,0:03:40
25,29,0:03:48
25,29,0:03:56
25,29,0:04:04
25,29,0:04:12
25,29,0:04:20
25,29,0:04:28
25,29,0:04:36
25,29,0:04:44
25,29,0:04:52
25,29,0:05:00
25,29,0:05:08
25,29,0:05:16
25,29,0:05:24
25,29,0:05:32
25,29,0:05:40
25,29,0:05:48
25,28,0:05:56
25,29,0:06:04
25,29,0:06:12
25,29,0:06:20
25,29,0:06:28
25,29,0:06:36
25,29,0:06:48
25,29,0:06:56
25,29,0:07:04
25,29,0:07:12
25,30,0:07:20
25,30,0:07:28
25,29,0:07:36
25,29,0:07:44
25,29,0:07:52
25,29,0:08:00
25,29,0:08:08
25,28,0:08:16
25,29,0:08:24
25,29,0:08:32
25,29,0:08:40
25,29,0:08:48
25,29,0:08:56
25,29,0:09:04
25,29,0:09:12
25,28,0:09:20
25,29,0:09:28
25,29,0:09:36
25,28,0:09:44
25,29,0:09:52
25,29,0:10:00
25,29,0:10:08
25,29,0:10:16
25,29,0:10:24
25,29,0:10:32
25,29,0:10:40
25,29,0:10:48
25,29,0:10:56
25,29,0:11:04
25,29,0:11:12
25,29,0:11:20
25,29,0:11:28
25,29,0:11:36
25,29,0:11:44
25,28,0:11:52
25,29,0:12:00
25,28,0:12:08
25,29,0:12:16
25,29,0:12:24
25,29,0:12:32
25,29,0:12:40
25,29,0:12:48
25,29,0:12:56
25,29,0:13:04
25,29,0:13:12
25,29,0:13:20
25,29,0:13:28
25,29,0:13:36
25,29,0:13:44
25,29,0:13:52
25,29,0:14:00
25,28,0:14:08
25,29,0:14:16
25,29,0:14:24
25,29,0:14:32
25,29,0:14:40
25,28,0:14:48
25,28,0:14:56
25,29,0:15:04
25,29,0:15:12
25,29,0:15:20
25,29,0:15:28
25,29,0:15:36
25,29,0:15:44
25,29,0:15:52
25,29,0:16:00
25,29,0:16:08
25,29,0:16:16
25,29,0:16:24
25,29,0:16:32
25,29,0:16:40
0,0,ss
25,33,0:24:52
25,33,0:25:02
25,30,0:25:12
25,30,0:25:22
25,30,0:25:32
25,30,0:25:42
25,30,0:25:52
25,30,0:26:02
25,30,0:26:12
25,30,0:26:22
25,30,0:26:32
25,30,0:26:42
25,30,0:26:52
25,30,0:27:02
25,30,0:27:12
25,30,0:27:22
25,30,0:27:32
25,30,0:27:42
25,30,0:27:52
25,30,0:28:02
25,29,0:28:12
25,30,0:28:22
25,30,0:28:32
25,30,0:28:42
25,30,0:28:52
25,30,0:29:02
25,30,0:29:12
25,30,0:29:22
25,30,0:29:32
25,30,0:29:42
25,30,0:29:52
25,30,0:30:02
25,30,0:30:12
25,30,0:30:22
25,31,0:30:32
25,32,0:30:42
25,31,0:25:46
25,32,0:25:56
25,31,0:26:06
25,31,0:26:16
25,31,0:26:26
25,33,0:26:36
25,35,0:26:46
25,32,0:26:56
25,32,0:27:06
25,33,0:27:16
25,31,0:00:12
25,30,0:00:22
25,30,0:00:59
25,31,0:01:09
25,31,0:01:19
25,41,0:01:29
25,39,0:01:39
25,38,0:01:49
25,34,0:01:59
25,32,0:02:09
25,31,0:02:19
25,30,0:02:29
25,30,0:02:39
25,30,0:02:49
25,30,0:02:59
25,29,0:03:09
25,29,0:03:19
25,29,0:03:29
25,29,0:03:39
25,29,0:03:49
25,29,0:03:59
25,29,0:04:09
25,29,0:04:19
25,29,0:04:29
25,29,0:04:39
25,29,0:04:49
25,29,0:04:59
25,29,0:05:09
25,29,0:05:19
25,29,0:05:29
25,29,0:05:39
25,29,0:08:10
24,33,0:08:20
24,30,0:08:30
24,30,0:08:40
24,30,0:08:50
24,30,0:09:00
24,30,0:09:10
24,30,0:09:20
24,30,0:09:30
24,30,0:09:40
24,30,0:09:50
24,30,0:10:00
24,30,0:10:10
24,30,0:10:20
24,30,0:10:30
24,31,0:10:40
24,31,0:10:50
23,31,0:11:00
23,31,0:11:10
23,31,0:11:20
23,31,0:11:30
23,31,0:11:40
23,31,0:11:50
23,31,0:12:00
23,31,0:12:10
23,32,0:12:20
23,32,0:12:30
23,32,0:12:40
23,32,0:12:50
23,32,0:13:00
23,32,0:13:10
23,32,0:13:20
23,32,0:13:30
23,32,0:13:40
23,32,0:13:50
23,32,0:14:00
23,32,0:14:10
23,32,0:14:20
23,32,0:14:30
23,32,0:14:40
23,32,0:14:50
23,32,0:15:00
23,32,0:15:10
23,32,0:15:20
23,32,0:15:30
23,32,0:15:40
23,32,0:15:50
23,32,0:16:00
23,32,0:16:10
23,33,0:16:20
23,33,0:16:30
23,33,0:16:40
23,33,0:16:50
23,33,0:17:00
23,33,0:17:10
23,33,0:17:20
23,33,0:17:30
23,33,0:17:40
23,33,0:17:50
23,33,0:18:00
23,33,0:18:10
23,33,0:18:20
23,33,0:18:30
23,33,0:18:40
23,33,0:18:50
23,33,0:19:00
23,33,0:19:10
23,33,0:19:20
23,33,0:19:30
23,33,0:19:40
23,33,0:19:50
23,33,0:20:00
23,33,0:20:10
23,33,0:20:20
23,33,0:20:30
23,33,0:20:40
23,33,0:20:50
23,33,0:21:00
23,33,0:21:10
23,33,0:21:20
23,33,0:21:30
23,33,0:21:40
23,33,0:21:50
23,33,0:22:00
23,33,0:22:10
23,33,0:22:20
23,33,0:22:30
23,33,0:22:40
23,33,0:22:50
23,33,0:23:00
23,33,0:23:10
23,33,0:23:20
23,33,0:23:30
23,33,0:23:40
23,33,0:23:50
23,33,0:24:00
23,33,0:24:10
23,33,0:24:20
23,33,0:24:30
23,33,0:24:40
23,33,0:24:50
23,33,0:25:00
23,33,0:25:10
23,33,0:25:20
23,33,0:25:30
23,33,0:25:40
23,33,0:25:50
23,33,0:26:00
23,33,0:26:10
23,33,0:26:20
23,33,0:26:30
23,33,0:26:40
23,33,0:26:50
23,33,0:27:00
23,33,0:27:10
23,33,0:27:20
23,33,0:27:30
23,33,0:27:40
23,33,0:27:50
23,33,0:28:00
23,33,0:28:10
23,33,0:28:20
23,33,0:28:30
23,33,0:28:40
23,33,0:28:50
23,33,0:29:00
23,33,0:29:10
23,33,0:29:20
23,33,0:29:30
23,33,0:32:30
23,38,0:32:40
23,35,0:32:50
23,35,0:33:00
23,35,0:33:10
24,35,0:33:20
24,35,0:33:30
24,35,0:33:40
24,35,0:33:50
24,35,0:34:00
24,34,0:34:10
24,34,0:34:20
24,34,0:34:30
24,34,0:34:40
24,34,0:34:50
24,34,0:35:00
24,34,0:35:10
24,34,0:35:20
24,34,0:35:30
24,34,0:35:40
24,34,0:35:50
24,34,0:36:00
23,39,0:00:54
22,39,0:01:04
22,40,0:01:14
21,40,0:01:24
21,40,0:01:34
21,41,0:01:44
21,41,0:01:54
21,42,0:02:04
20,42,0:02:14
20,42,0:02:24
20,42,0:02:34
